query_id	target_id	ani	gani	tani	cov	ncd_similarity	nt_match	nt_mismatch	num_alns	len_ratio
NZ_CP009461.1 Klebsiella pneumoniae strain XH209 chromosome, complete genome	NZ_CP009114.1 Klebsiella pneumoniae strain carbapenem-resistant blaNDM-1 chromosome, complete genome	0.958869	0.958855	0.923540	0.999985	1.000000	4908260	210540	390245	0.9290
NZ_CP009461.1 Klebsiella pneumoniae strain XH209 chromosome, complete genome	NZ_CP009461.1 Klebsiella pneumoniae strain XH209 chromosome, complete genome	0.958850	0.958836	0.958836	0.999985	1.000000	4908163	210637	390555	1.0000
NZ_CP009461.1 Klebsiella pneumoniae strain XH209 chromosome, complete genome	NZ_CP010361.1 Klebsiella pneumoniae strain 32192 chromosome, complete genome	0.958816	0.958802	0.913989	0.999985	1.000000	4907988	210812	390660	0.9107
NZ_CP009461.1 Klebsiella pneumoniae strain XH209 chromosome, complete genome	NZ_CP006659.2 Klebsiella pneumoniae strain ATCC BAA-2146 chromosome 1, complete sequence	0.958845	0.958831	0.900541	0.999985	1.000000	4908138	210662	390677	0.8854
NZ_CP009461.1 Klebsiella pneumoniae strain XH209 chromosome, complete genome	NZ_CP008929.1 Klebsiella pneumoniae strain PMK1 chromosome, complete genome	0.958889	0.958874	0.883620	0.999985	1.000000	4908359	210441	389719	0.8545
NZ_CP010361.1 Klebsiella pneumoniae strain 32192 chromosome, complete genome	NZ_CP009114.1 Klebsiella pneumoniae strain carbapenem-resistant blaNDM-1 chromosome, complete genome	0.959158	0.959143	0.968663	0.999985	1.000000	5391183	229565	437718	0.9803
NZ_CP010361.1 Klebsiella pneumoniae strain 32192 chromosome, complete genome	NZ_CP009461.1 Klebsiella pneumoniae strain XH209 chromosome, complete genome	0.959124	0.959110	1.003937	0.999985	1.000000	5390997	229751	438113	0.9107
NZ_CP010361.1 Klebsiella pneumoniae strain 32192 chromosome, complete genome	NZ_CP010361.1 Klebsiella pneumoniae strain 32192 chromosome, complete genome	0.959098	0.959084	0.959084	0.999985	1.000000	5390849	229899	438123	1.0000
NZ_CP010361.1 Klebsiella pneumoniae strain 32192 chromosome, complete genome	NZ_CP006659.2 Klebsiella pneumoniae strain ATCC BAA-2146 chromosome 1, complete sequence	0.959114	0.959100	0.945582	0.999985	1.000000	5390939	229809	438162	0.9722
NZ_CP010361.1 Klebsiella pneumoniae strain 32192 chromosome, complete genome	NZ_CP008929.1 Klebsiella pneumoniae strain PMK1 chromosome, complete genome	0.959139	0.959124	0.928567	0.999985	1.000000	5391076	229672	437139	0.9382
NZ_CP009114.1 Klebsiella pneumoniae strain carbapenem-resistant blaNDM-1 chromosome, complete genome	NZ_CP009114.1 Klebsiella pneumoniae strain carbapenem-resistant blaNDM-1 chromosome, complete genome	0.959111	0.959092	0.959092	0.999980	1.000000	5284937	225307	427382	1.0000
NZ_CP009114.1 Klebsiella pneumoniae strain carbapenem-resistant blaNDM-1 chromosome, complete genome	NZ_CP009461.1 Klebsiella pneumoniae strain XH209 chromosome, complete genome	0.959113	0.959094	0.994417	0.999980	1.000000	5284946	225298	427686	0.9290
NZ_CP009114.1 Klebsiella pneumoniae strain carbapenem-resistant blaNDM-1 chromosome, complete genome	NZ_CP010361.1 Klebsiella pneumoniae strain 32192 chromosome, complete genome	0.959082	0.959064	0.949545	0.999980	1.000000	5284778	225466	427774	0.9803
NZ_CP009114.1 Klebsiella pneumoniae strain carbapenem-resistant blaNDM-1 chromosome, complete genome	NZ_CP006659.2 Klebsiella pneumoniae strain ATCC BAA-2146 chromosome 1, complete sequence	0.959068	0.959050	0.936017	0.999980	1.000000	5284701	225543	427715	0.9531
NZ_CP009114.1 Klebsiella pneumoniae strain carbapenem-resistant blaNDM-1 chromosome, complete genome	NZ_CP008929.1 Klebsiella pneumoniae strain PMK1 chromosome, complete genome	0.959133	0.959115	0.919050	0.999980	1.000000	5285059	225185	426925	0.9198
NZ_CP006659.2 Klebsiella pneumoniae strain ATCC BAA-2146 chromosome 1, complete sequence	NZ_CP009114.1 Klebsiella pneumoniae strain carbapenem-resistant blaNDM-1 chromosome, complete genome	0.959181	0.959166	0.982202	0.999985	1.000000	5545459	235993	452527	0.9531
NZ_CP006659.2 Klebsiella pneumoniae strain ATCC BAA-2146 chromosome 1, complete sequence	NZ_CP009461.1 Klebsiella pneumoniae strain XH209 chromosome, complete genome	0.959149	0.959134	1.017443	0.999985	1.000000	5545275	236177	452888	0.8854
NZ_CP006659.2 Klebsiella pneumoniae strain ATCC BAA-2146 chromosome 1, complete sequence	NZ_CP010361.1 Klebsiella pneumoniae strain 32192 chromosome, complete genome	0.959125	0.959110	0.972628	0.999985	1.000000	5545134	236318	452973	0.9722
NZ_CP006659.2 Klebsiella pneumoniae strain ATCC BAA-2146 chromosome 1, complete sequence	NZ_CP006659.2 Klebsiella pneumoniae strain ATCC BAA-2146 chromosome 1, complete sequence	0.959131	0.959116	0.959116	0.999985	1.000000	5545167	236285	452954	1.0000
NZ_CP006659.2 Klebsiella pneumoniae strain ATCC BAA-2146 chromosome 1, complete sequence	NZ_CP008929.1 Klebsiella pneumoniae strain PMK1 chromosome, complete genome	0.959175	0.959160	0.942112	0.999985	1.000000	5545423	236029	452046	0.9651
NZ_CP008929.1 Klebsiella pneumoniae strain PMK1 chromosome, complete genome	NZ_CP009114.1 Klebsiella pneumoniae strain carbapenem-resistant blaNDM-1 chromosome, complete genome	0.959086	0.959072	0.999134	0.999985	1.000000	5745586	245104	471776	0.9198
NZ_CP008929.1 Klebsiella pneumoniae strain PMK1 chromosome, complete genome	NZ_CP009461.1 Klebsiella pneumoniae strain XH209 chromosome, complete genome	0.959081	0.959067	1.034336	0.999985	1.000000	5745557	245133	472151	0.8545
NZ_CP008929.1 Klebsiella pneumoniae strain PMK1 chromosome, complete genome	NZ_CP010361.1 Klebsiella pneumoniae strain 32192 chromosome, complete genome	0.959032	0.959018	0.989573	0.999985	1.000000	5745266	245424	472163	0.9382
NZ_CP008929.1 Klebsiella pneumoniae strain PMK1 chromosome, complete genome	NZ_CP006659.2 Klebsiella pneumoniae strain ATCC BAA-2146 chromosome 1, complete sequence	0.959061	0.959047	0.976092	0.999985	1.000000	5745436	245254	472139	0.9651
NZ_CP008929.1 Klebsiella pneumoniae strain PMK1 chromosome, complete genome	NZ_CP008929.1 Klebsiella pneumoniae strain PMK1 chromosome, complete genome	0.959072	0.959058	0.959058	0.999985	1.000000	5745503	245187	471153	1.0000
